CodigoInstitucion,Nombre,Puntaje,Ano
MU291,MUNICIPALIDAD DE SAN JOAQUÍN,81.00,2017
MU292,MUNICIPALIDAD DE SAN JOSÉ DE MAIPO,93.22,2017
MU014,MUNICIPALIDAD DE BUIN,0.00,2017
MU082,MUNICIPALIDAD DE EL BOSQUE,0.00,2017
MU074,MUNICIPALIDAD DE CURACO DE VÉLEZ,0.00,2017
MU233,MUNICIPALIDAD DE PUERTO MONTT,100.00,2017
MU279,MUNICIPALIDAD DE SALAMANCA,94.06,2017
MU214,MUNICIPALIDAD DE PERQUENCO,100.00,2017
MU267,MUNICIPALIDAD DE REQUÍNOA,94.06,2017
MU229,MUNICIPALIDAD DE PUCHUNCAVÍ,86.42,2017
MU340,MUNICIPALIDAD DE VIÑA DEL MAR,0.00,2017
MU278,MUNICIPALIDAD DE SAGRADA FAMILIA,88.83,2017
MU103,MUNICIPALIDAD DE HUALAIHUÉ,90.25,2017
MU341,MUNICIPALIDAD DE VITACURA,94.41,2017
MU284,MUNICIPALIDAD DE SAN ESTEBAN,93.22,2017
MU345,MUNICIPALIDAD DE ZAPALLAR,88.83,2017
MU255,MUNICIPALIDAD DE QUINCHAO,72.65,2017
MU073,MUNICIPALIDAD DE CURACAVÍ,97.86,2017
MU299,MUNICIPALIDAD DE SAN PEDRO DE LA PAZ,0.00,2017
MU243,MUNICIPALIDAD DE PUTAENDO,100.00,2017
MU088,MUNICIPALIDAD DE ERCILLA,86.42,2017
MU046,MUNICIPALIDAD DE CHONCHI,83.23,2017
MU307,MUNICIPALIDAD DE SANTA MARÍA,87.34,2017
MU317,MUNICIPALIDAD DE TEODORO SCHMIDT,0.00,2017
MU150,MUNICIPALIDAD DE LONQUIMAY,87.34,2017
MU286,MUNICIPALIDAD DE SAN FELIPE,100.00,2017
MU232,MUNICIPALIDAD DE PUENTE ALTO,87.34,2017
MU309,MUNICIPALIDAD DE SANTO DOMINGO,93.22,2017
MU339,MUNICIPALIDAD DE VILLARRICA,100.00,2017
MU332,MUNICIPALIDAD DE VALPARAÍSO,100.00,2017
MU173,MUNICIPALIDAD DE MELIPILLA,93.22,2017
MU134,MUNICIPALIDAD DE LAS CABRAS,86.42,2017
MU323,MUNICIPALIDAD DE TOLTÉN,85.75,2017
MU122,MUNICIPALIDAD DE LA HIGUERA,0.00,2017
MU250,MUNICIPALIDAD DE QUILICURA,94.06,2017
MU120,MUNICIPALIDAD DE LA FLORIDA,100.00,2017
MU113,MUNICIPALIDAD DE ISLA DE MAIPO,88.13,2017
MU084,MUNICIPALIDAD DE EL MONTE,86.42,2017
MU055,MUNICIPALIDAD DE COLBÚN,81.00,2017
MU263,MUNICIPALIDAD DE RECOLETA,94.41,2017
MU034,MUNICIPALIDAD DE CERRILLOS,93.66,2017
MU282,MUNICIPALIDAD DE SAN CARLOS,92.09,2017
MU211,MUNICIPALIDAD DE PEÑAFLOR,86.42,2017
MU269,MUNICIPALIDAD DE RINCONADA,0.00,2017
MU210,MUNICIPALIDAD DE PENCO,86.42,2017
MU224,MUNICIPALIDAD DE PORTEZUELO,100.00,2017
MU252,MUNICIPALIDAD DE QUILLÓN,75.51,2017
MU258,MUNICIPALIDAD DE QUINTERO,79.35,2017
MU280,MUNICIPALIDAD DE SAN ANTONIO,100.00,2017
MU117,MUNICIPALIDAD DE LA CISTERNA,85.39,2017
MU033,MUNICIPALIDAD DE CAUQUENES,87.34,2017
MU009,MUNICIPALIDAD DE ANTOFAGASTA,100.00,2017
