CodigoInstitucion,Nombre,Puntaje,Ano
MU168,MUNICIPALIDAD DE MARIQUINA,67.43,2017
MU185,MUNICIPALIDAD DE ÑIQUÉN,84.61,2017
MU297,MUNICIPALIDAD DE SAN PEDRO DE MELIPILLA,65.58,2017
MU206,MUNICIPALIDAD DE PELARCO,32.48,2017
MU328,MUNICIPALIDAD DE TREHUACO,52.90,2017
MU184,MUNICIPALIDAD DE NUEVA IMPERIAL,50.78,2017
MU176,MUNICIPALIDAD DE MOSTAZAL,69.17,2017
MU198,MUNICIPALIDAD DE PALENA,72.62,2017
MU011,MUNICIPALIDAD DE ARAUCO,87.02,2017
MU094,MUNICIPALIDAD DE FRUTILLAR,52.77,2017
MU113,MUNICIPALIDAD DE ISLA DE MAIPO,76.74,2017
MU105,MUNICIPALIDAD DE HUALPÉN,93.80,2017
MU187,MUNICIPALIDAD DE O'HIGGINS,80.04,2017
MU157,MUNICIPALIDAD DE LOS VILOS,84.76,2017
MU279,MUNICIPALIDAD DE SALAMANCA,90.14,2017
MU036,MUNICIPALIDAD DE CHAITÉN,91.30,2017
MU056,MUNICIPALIDAD DE COLCHANE,63.46,2017
MU194,MUNICIPALIDAD DE PADRE LAS CASAS,94.10,2017
MU044,MUNICIPALIDAD DE CHIMBARONGO,85.51,2017
MU082,MUNICIPALIDAD DE EL BOSQUE,65.02,2017
MU078,MUNICIPALIDAD DE CURICÓ,42.78,2017
MU191,MUNICIPALIDAD DE OSORNO,79.51,2017
MU137,MUNICIPALIDAD DE LEBU,76.78,2017
MU118,MUNICIPALIDAD DE LA CRUZ,46.10,2017
MU097,MUNICIPALIDAD DE GALVARINO,66.89,2017
MU242,MUNICIPALIDAD DE PURRANQUE,79.07,2017
MU243,MUNICIPALIDAD DE PUTAENDO,68.68,2017
MU338,MUNICIPALIDAD DE VILLA ALEMANA,93.54,2017
MU016,MUNICIPALIDAD DE CABILDO,93.58,2017
MU098,MUNICIPALIDAD DE GENERAL LAGOS,75.51,2017
MU140,MUNICIPALIDAD DE LINARES,68.79,2017
MU100,MUNICIPALIDAD DE GRANEROS,90.89,2017
MU043,MUNICIPALIDAD DE CHILLÁN VIEJO,55.68,2017
MU173,MUNICIPALIDAD DE MELIPILLA,83.69,2017
MU211,MUNICIPALIDAD DE PEÑAFLOR,77.01,2017
MU204,MUNICIPALIDAD DE PARRAL,86.99,2017
MU167,MUNICIPALIDAD DE MARÍA PINTO,78.74,2017
MU232,MUNICIPALIDAD DE PUENTE ALTO,84.82,2017
MU119,MUNICIPALIDAD DE LA ESTRELLA,72.98,2017
MU041,MUNICIPALIDAD DE CHILE CHICO,63.72,2017
MU311,MUNICIPALIDAD DE TALAGANTE,97.26,2017
MU001,MUNICIPALIDAD DE ALGARROBO,49.79,2017
MU333,MUNICIPALIDAD DE VICHUQUÉN,56.50,2017
MU318,MUNICIPALIDAD DE TIERRA AMARILLA,80.62,2017
MU158,MUNICIPALIDAD DE LOTA,70.85,2017
MU220,MUNICIPALIDAD DE PINTO,58.76,2017
