"code","municipality","year","variable","value"
1101,"IQUIQUE","2016","PARTICIPACIÓN DEL ÁREA DE PROGRAMAS CULTURALES EN EL GASTO TOTAL (DEVENGADO)",160
1107,"ALTO HOSPICIO","2016","PARTICIPACIÓN DEL ÁREA DE PROGRAMAS CULTURALES EN EL GASTO TOTAL (DEVENGADO)",0
1401,"POZO ALMONTE","2016","PARTICIPACIÓN DEL ÁREA DE PROGRAMAS CULTURALES EN EL GASTO TOTAL (DEVENGADO)",810
1402,"CAMIÑA","2016","PARTICIPACIÓN DEL ÁREA DE PROGRAMAS CULTURALES EN EL GASTO TOTAL (DEVENGADO)",3890
1403,"COLCHANE","2016","PARTICIPACIÓN DEL ÁREA DE PROGRAMAS CULTURALES EN EL GASTO TOTAL (DEVENGADO)",120
1404,"HUARA","2016","PARTICIPACIÓN DEL ÁREA DE PROGRAMAS CULTURALES EN EL GASTO TOTAL (DEVENGADO)",2420
1405,"PICA","2016","PARTICIPACIÓN DEL ÁREA DE PROGRAMAS CULTURALES EN EL GASTO TOTAL (DEVENGADO)",190
2101,"ANTOFAGASTA","2016","PARTICIPACIÓN DEL ÁREA DE PROGRAMAS CULTURALES EN EL GASTO TOTAL (DEVENGADO)",2760
2102,"MEJILLONES","2016","PARTICIPACIÓN DEL ÁREA DE PROGRAMAS CULTURALES EN EL GASTO TOTAL (DEVENGADO)",190
2103,"SIERRA GORDA","2016","PARTICIPACIÓN DEL ÁREA DE PROGRAMAS CULTURALES EN EL GASTO TOTAL (DEVENGADO)",0
2104,"TALTAL","2016","PARTICIPACIÓN DEL ÁREA DE PROGRAMAS CULTURALES EN EL GASTO TOTAL (DEVENGADO)",830
2201,"CALAMA","2016","PARTICIPACIÓN DEL ÁREA DE PROGRAMAS CULTURALES EN EL GASTO TOTAL (DEVENGADO)",320
2202,"OLLAGÜE","2016","PARTICIPACIÓN DEL ÁREA DE PROGRAMAS CULTURALES EN EL GASTO TOTAL (DEVENGADO)",0
2203,"SAN PEDRO DE ATACAMA","2016","PARTICIPACIÓN DEL ÁREA DE PROGRAMAS CULTURALES EN EL GASTO TOTAL (DEVENGADO)",1990
2301,"TOCOPILLA","2016","PARTICIPACIÓN DEL ÁREA DE PROGRAMAS CULTURALES EN EL GASTO TOTAL (DEVENGADO)",420
2302,"MARÍA ELENA","2016","PARTICIPACIÓN DEL ÁREA DE PROGRAMAS CULTURALES EN EL GASTO TOTAL (DEVENGADO)",0
3101,"COPIAPÓ","2016","PARTICIPACIÓN DEL ÁREA DE PROGRAMAS CULTURALES EN EL GASTO TOTAL (DEVENGADO)",980
3102,"CALDERA","2016","PARTICIPACIÓN DEL ÁREA DE PROGRAMAS CULTURALES EN EL GASTO TOTAL (DEVENGADO)",5590
3103,"TIERRA AMARILLA","2016","PARTICIPACIÓN DEL ÁREA DE PROGRAMAS CULTURALES EN EL GASTO TOTAL (DEVENGADO)",0
3201,"CHAÑARAL","2016","PARTICIPACIÓN DEL ÁREA DE PROGRAMAS CULTURALES EN EL GASTO TOTAL (DEVENGADO)",140
3202,"DIEGO DE ALMAGRO","2016","PARTICIPACIÓN DEL ÁREA DE PROGRAMAS CULTURALES EN EL GASTO TOTAL (DEVENGADO)",60
