"code","municipality","year","variable","value"
1101,"IQUIQUE","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",79775023000
1107,"ALTO HOSPICIO","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",14802834000
1401,"POZO ALMONTE","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",8044711000
1402,"CAMIÑA","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",3905445000
1403,"COLCHANE","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",3136813000
1404,"HUARA","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",4546292000
1405,"PICA","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",7867141000
2101,"ANTOFAGASTA","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",121908869000
2102,"MEJILLONES","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",9628265000
2103,"SIERRA GORDA","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",9604996000
2104,"TALTAL","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",9032027000
2201,"CALAMA","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",55088343000
2202,"OLLAGÜE","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",3114918000
2203,"SAN PEDRO DE ATACAMA","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",6271803000
2301,"TOCOPILLA","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",6168844000
2302,"MARÍA ELENA","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",4739115000
3101,"COPIAPÓ","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",31650876000
3102,"CALDERA","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",10188966000
3103,"TIERRA AMARILLA","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",8622531000
3201,"CHAÑARAL","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",12301918000
3202,"DIEGO DE ALMAGRO","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",10480958000
3301,"VALLENAR","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",12028473000
3302,"ALTO DEL CARMEN","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",5470874000
3303,"FREIRINA","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",3154738000
3304,"HUASCO","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",3924992000
4101,"LA SERENA","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",63150958000
4102,"COQUIMBO","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",48649164000
4103,"ANDACOLLO","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",4369141000
4104,"LA HIGUERA","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",4037185000
4105,"PAIGUANO","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",3613807000
4106,"VICUÑA","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",8808371000
4201,"ILLAPEL","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",9676279000
4202,"CANELA","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",4063683000
4203,"LOS VILOS","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",6796511000
4204,"SALAMANCA","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",20478678000
4301,"OVALLE","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",25675693000
4302,"COMBARBALÁ","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",4205756000
4303,"MONTE PATRIA","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",8027172000
4304,"PUNITAQUI","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",3655888000
4305,"RÍO HURTADO","2016","PRESUPUESTO VIGENTE GASTOS MUNICPIALES",3196511000
