"code","municipality","year","variable","value"
1101,"IQUIQUE","2016","PRESUPUESTO VIGENTE SECTOR MUNICIPAL",79775023000
1107,"ALTO HOSPICIO","2016","PRESUPUESTO VIGENTE SECTOR MUNICIPAL",14802832000
1401,"POZO ALMONTE","2016","PRESUPUESTO VIGENTE SECTOR MUNICIPAL",7830329000
1402,"CAMIÑA","2016","PRESUPUESTO VIGENTE SECTOR MUNICIPAL",3905449000
1403,"COLCHANE","2016","PRESUPUESTO VIGENTE SECTOR MUNICIPAL",3136813000
1404,"HUARA","2016","PRESUPUESTO VIGENTE SECTOR MUNICIPAL",4546292000
1405,"PICA","2016","PRESUPUESTO VIGENTE SECTOR MUNICIPAL",7867141000
2101,"ANTOFAGASTA","2016","PRESUPUESTO VIGENTE SECTOR MUNICIPAL",121908869000
2102,"MEJILLONES","2016","PRESUPUESTO VIGENTE SECTOR MUNICIPAL",9628265000
2103,"SIERRA GORDA","2016","PRESUPUESTO VIGENTE SECTOR MUNICIPAL",9604996000
2104,"TALTAL","2016","PRESUPUESTO VIGENTE SECTOR MUNICIPAL",9032027000
2201,"CALAMA","2016","PRESUPUESTO VIGENTE SECTOR MUNICIPAL",55088343000
2202,"OLLAGÜE","2016","PRESUPUESTO VIGENTE SECTOR MUNICIPAL",3114918000
2203,"SAN PEDRO DE ATACAMA","2016","PRESUPUESTO VIGENTE SECTOR MUNICIPAL",6271802000
2301,"TOCOPILLA","2016","PRESUPUESTO VIGENTE SECTOR MUNICIPAL",6168842000
2302,"MARÍA ELENA","2016","PRESUPUESTO VIGENTE SECTOR MUNICIPAL",4739115000
3101,"COPIAPÓ","2016","PRESUPUESTO VIGENTE SECTOR MUNICIPAL",31650876000
3102,"CALDERA","2016","PRESUPUESTO VIGENTE SECTOR MUNICIPAL",10109512000
3103,"TIERRA AMARILLA","2016","PRESUPUESTO VIGENTE SECTOR MUNICIPAL",8622530000
3201,"CHAÑARAL","2016","PRESUPUESTO VIGENTE SECTOR MUNICIPAL",6325683000
3202,"DIEGO DE ALMAGRO","2016","PRESUPUESTO VIGENTE SECTOR MUNICIPAL",10484287000
3301,"VALLENAR","2016","PRESUPUESTO VIGENTE SECTOR MUNICIPAL",12424322000
3302,"ALTO DEL CARMEN","2016","PRESUPUESTO VIGENTE SECTOR MUNICIPAL",5470887000
3303,"FREIRINA","2016","PRESUPUESTO VIGENTE SECTOR MUNICIPAL",3154738000
3304,"HUASCO","2016","PRESUPUESTO VIGENTE SECTOR MUNICIPAL",3924992000
